აბაშიძე,Abashidze,N,,Georgian
阿部,Abe,N,,Japanese
Абрамов,Abramov,M,Абрамова,Russian
Абрамова,Abramova,F,Абрамов,Russian
აბულაძე,Abuladze,N,,Georgian
Аксёнов,Aksyonov,M,Аксёнова,Russian
Аксёнова,Aksyonova,F,Аксёнов,Russian
Алексеев,Alekseyev,M,Алексеева,Russian
Алексеева,Alekseyeva,F,Алексеев,Russian
ალიევი,Alievi,N,,Georgian
Андреев,Andreyev,M,Андреева,Russian
Андреева,Andreyeva,F,Андреев,Russian
Առաքելյան,Aṙakʼelyan,N,,Armenian
Արծրունի,Artsruni,N,,Armenian
Ասլանյան,Aslanyan,N,,Armenian
Авдеев,Avdeyev,M,Авдеева,Russian
Авдеева,Avdeyeva,F,Авдеев,Russian
Ավետիսյան,Avetisyan,N,,Armenian
Բագրատունի,Bagratuni,N,,Armenian
ბაირამოვი,Bairamovi,N,,Georgian
鲍,Bào,N,,Chinese
Баранов,Baranov,M,Баранова,Russian
Баранова,Baranova,F,Баранов,Russian
Белов,Belov,M,Белова,Russian
Белова,Belova,F,Белов,Russian
Беляев,Belyayev,M,Беляева,Russian
Беляева,Belyayeva,F,Беляев,Russian
ბერიძე,Beridze,N,,Georgian
Боднар,Bodnar,N,,Ukrainian
Богданов,Bogdanov,M,Богданова,Russian
Богданова,Bogdanova,F,Богданов,Russian
ბოლქვაძე,Bolkvadze,N,,Georgian
Бондар,Bondar,N,,Ukrainian
Бондаренко,Bondarenko,N,,Ukrainian
Борисов,Borisov,M,Борисова,Russian
Борисова,Borisova,F,Борисов,Russian
Бойко,Boyko,N,,Ukrainian
蔡,Cài,N,,Chinese
曹,Cáo,N,,Chinese
陈,Chén,N,,Chinese
程,Chéng,N,,Chinese
Դարբինյան,Darbinyan,N,,Armenian
邓,Dèng,N,,Chinese
董,Dǒng,N,,Chinese
杜,Dù,N,,Chinese
冯,Féng,N,,Chinese
Фёдоров,Fyodorov,M,Фёдорова,Russian
Фёдорова,Fyodorova,F,Фёдоров,Russian
高,Gāo,N,,Chinese
Գասպարյան,Gasparyan,N,,Armenian
გელაშვილი,Gelashvili,N,,Georgian
Герасимов,Gerasimov,M,Герасимова,Russian
Герасимова,Gerasimova,F,Герасимов,Russian
Ղազարյան,Ghazaryan,N,,Armenian
გიორგაძე,Giorgadze,N,,Georgian
გოგოლაძე,Gogoladze,N,,Georgian
Голубев,Golubev,M,Голубева,Russian
Голубева,Golubeva,F,Голубев,Russian
後藤,Gotō,N,,Japanese
Գրիգորյան,Grigoryan,N,,Armenian
Григорьев,Grigoryev,M,Григорьева,Russian
Григорьева,Grigoryeva,F,Григорьев,Russian
郭,Guō,N,,Chinese
გუსეინოვი,Guseinovi,N,,Georgian
Гусев,Gusev,M,Гусева,Russian
Гусева,Guseva,F,Гусев,Russian
Հակոբյան,Hakobyan,N,,Armenian
韩,Hán,N,,Chinese
Հարությունյան,Harutʼyunyan,N,,Armenian
長谷川,Hasegawa,N,,Japanese
橋本,Hashimoto,N,,Japanese
Гаврилюк,Havrylyuk,N,,Ukrainian
林,Hayashi,N,,Japanese
Հայրապետյան,Hayrapetyan,N,,Armenian
何,Hé,N,,Chinese
Հովհաննիսյան,Hovhannisyan,N,,Armenian
胡,Hú,N,,Chinese
黄,Huáng,N,,Chinese
池田,Ikeda,N,,Japanese
Ильин,Ilyin,M,Ильина,Russian
Ильина,Ilyina,F,Ильин,Russian
井上,Inoue,N,,Japanese
Իսահակյան,Isahakyan,N,,Armenian
石井,Ishii,N,,Japanese
石川,Ishikawa,N,,Japanese
伊藤,Itō,N,,Japanese
Иванов,Ivanov,M,Иванова,Russian
Иванова,Ivanova,F,Иванов,Russian
蒋,Jiǎng,N,,Chinese
Կարապետյան,Karapetyan,N,,Armenian
Карпенко,Karpenko,N,,Ukrainian
Карпов,Karpov,M,Карпова,Russian
Карпова,Karpova,F,Карпов,Russian
加藤,Katō,N,,Japanese
